iter	Logloss
185	0.3077963108
186	0.3074380112
187	0.3071493719
188	0.3068635961
189	0.3067130768
190	0.3062896844
191	0.3058643789
192	0.3049343806
193	0.3044490381
194	0.3037917291
195	0.3035968348
196	0.3035485017
197	0.3033771575
198	0.3030562997
199	0.3027645653
200	0.3026705794
201	0.3024573485
202	0.3022706145
203	0.3019736631
204	0.3017029422
205	0.3010957569
206	0.3006585747
207	0.3004576555
208	0.2996453644
209	0.2993531954
210	0.2991950913
211	0.2990443841
212	0.2986566588
213	0.2983919865
214	0.2982046609
215	0.298026138
216	0.2977080361
217	0.2973279701
218	0.2966827641
219	0.2964898294
220	0.2959819769
221	0.2958754035
222	0.2957716553
223	0.2953402365
224	0.2951329808
225	0.2949233498
226	0.2943625304
227	0.2939996975
228	0.2938780996
229	0.2936249107
230	0.2934044952
231	0.2930882846
232	0.2928520278
233	0.2925893213
234	0.2918785961
235	0.2916696086
236	0.2915319107
237	0.2912111124
238	0.2909655792
239	0.2906775758
240	0.2905168629
241	0.2901275538
242	0.2899428508
243	0.2892924062
244	0.2886515917
245	0.2884000244
246	0.2878018946
247	0.2873235142
248	0.2871597423
249	0.2865832918
250	0.28641902
251	0.2859930528
252	0.2854465315
253	0.2850660985
254	0.2848522789
255	0.2836733642
256	0.2833276374
257	0.2831657196
258	0.2827269079
259	0.2824296545
260	0.2820756278
261	0.2818815313
262	0.2811763095
263	0.2805562154
264	0.2801454421
265	0.2797542964
266	0.2795314785
267	0.2792392969
268	0.2789415254
269	0.2787318004
270	0.2777222918
271	0.2772949327
272	0.2771018918
273	0.27682442
274	0.2765727437
275	0.2764300383
276	0.2761131977
277	0.2759577526
278	0.2755010079
279	0.2750388653
280	0.2740688508
281	0.2732638008
282	0.2728470456
283	0.2725560172
284	0.2722758433
285	0.2716341339
286	0.2713520902
287	0.2710639246
288	0.2704298913
289	0.2697152674
290	0.2695477832
291	0.2693008999
292	0.2691056992
293	0.2688343249
294	0.2683802461
295	0.2682091848
296	0.2679167972
297	0.2676951293
298	0.2671011166
299	0.2664657354
300	0.2659478102
301	0.2657431815
302	0.2653908023
303	0.2650522334
304	0.2647925955
305	0.264587582
306	0.2644434693
307	0.2642259742
308	0.2639147909
309	0.2636772503
310	0.2635108874
311	0.2629895651
312	0.2627444343
313	0.2624543692
314	0.2620795635
315	0.2615776195
316	0.2612576018
317	0.2610721863
318	0.2608372303
319	0.2604220907
320	0.2601010546
321	0.2598509045
322	0.2596965167
323	0.2595591087
324	0.2590590664
325	0.2586830075
326	0.2581618152
327	0.2580202654
328	0.2576910751
329	0.2573941616
330	0.2569927038
331	0.2566307913
332	0.256362559
333	0.2561917401
334	0.2559606947
335	0.2557777376
336	0.2554784413
337	0.2552917628
338	0.254967455
339	0.2548454022
340	0.2544257734
341	0.2541446847
342	0.2539477706
343	0.2536878452
344	0.2534066803
345	0.2531224101
346	0.2528671257
347	0.2526415088
348	0.2524054503
349	0.2521244213
350	0.2518240437
351	0.2516075542
352	0.2513882085
353	0.2510447613
354	0.2507909922
355	0.2506541973
356	0.2502951171
357	0.2498506366
358	0.249558428
359	0.2492472422
360	0.2489011629
361	0.2485797731
362	0.2482539503
363	0.2480387774
364	0.2477678572
365	0.2476357217
366	0.2474086783
367	0.2470680969
368	0.2468667045
369	0.2465716465
370	0.2463933655
371	0.246099932
372	0.2458586055
373	0.2454360756
374	0.2452147852
375	0.2449321066
376	0.2446526757
377	0.2445313571
378	0.2443461739
379	0.2441353912
380	0.2439329179
381	0.2436014957
382	0.243349385
383	0.243094251
384	0.2428265928
385	0.2426046975
386	0.2424202649
387	0.242320389
388	0.2420684646
389	0.2418638295
390	0.2416917178
391	0.2415017301
392	0.2413610375
393	0.240987354
394	0.2408135386
395	0.2406312272
396	0.2404061072
397	0.2400588465
398	0.2398083857
399	0.2396414577
